Time,State,Epsilon,Action,Reward,Medkit,Poison,Frags,Amo,Max Life,Life,Mean Score,Var Score,Loss
120,observe,1.0,0,-96.0,2,0,0,0,119,119,119.0,0.0,0
240,observe,1.0,2,-96.0,2,0,0,0,119,119,119.0,0.0,0
360,observe,1.0,2,-96.0,2,0,0,0,119,119,119.0,0.0,0
496,observe,1.0,0,-96.0,3,0,0,0,135,135,123.0,48.0,0
616,observe,1.0,2,-96.0,2,0,0,0,135,119,122.2,40.96,0
712,observe,1.0,2,-96.0,1,0,0,0,135,95,117.666666667,136.888888889,0
824,observe,1.0,1,-96.0,2,0,0,0,135,111,116.714285714,122.775510204,0
968,observe,1.0,1,-96.0,3,0,0,0,143,143,120.0,183.0,0
1064,observe,1.0,0,-96.0,1,0,0,0,143,95,117.222222222,224.395061728,0
1184,observe,1.0,1,-96.0,2,0,0,0,143,119,117.4,202.24,0
1304,observe,1.0,1,-96.0,2,0,0,0,143,119,117.545454545,184.066115702,0
1400,observe,1.0,1,-96.0,1,0,0,0,143,95,115.666666667,207.555555556,0
1520,observe,1.0,2,-96.0,2,0,0,0,143,119,115.923076923,192.378698225,0
1632,observe,1.0,0,-96.0,2,0,0,0,143,111,115.571428571,180.244897959,0
1752,observe,1.0,2,-96.0,2,0,0,0,143,119,115.8,168.96,0
1848,observe,1.0,0,-96.0,1,0,0,0,143,95,114.5,183.75,0
1984,observe,1.0,0,-96.0,3,0,0,0,143,135,115.705882353,196.207612457,0
2128,explore,0.9936506349999968,0,-96.0,3,0,0,0,143,143,117.222222222,224.395061728,0
2256,explore,0.9872512749999937,2,-96.0,3,0,0,0,143,127,117.736842105,217.351800554,"[0.057019886, 0.023446424, 0.014089695, 0.019483767]"
2400,explore,0.9800519949999901,2,-96.0,3,0,0,0,143,143,119.0,236.8,0
2568,explore,0.9716528349999859,1,-96.0,4,0,0,0,167,167,121.285714286,330.013605442,0
2688,explore,0.9656534349999829,0,-96.0,2,0,0,0,167,119,121.181818182,315.239669421,0
2808,explore,0.9596540349999799,2,-96.0,2,0,0,0,167,119,121.086956522,301.731568998,0
2928,explore,0.9536546349999769,0,-96.0,2,0,0,0,167,119,121.0,289.333333333,0
3096,explore,0.9452554749999728,1,-96.0,4,0,0,0,167,167,122.84,359.0144,"[0.063096613, 0.026103243, 0.017700719, 0.019292656]"
3192,explore,0.9404559549999704,2,-96.0,1,0,0,0,167,95,121.769230769,373.869822485,0
3312,explore,0.9344565549999674,1,-96.0,2,0,0,0,167,119,121.666666667,360.296296296,0
3432,explore,0.9284571549999644,1,-96.0,2,0,0,0,167,119,121.571428571,347.673469388,0
3560,explore,0.9220577949999612,1,-96.0,3,0,0,0,167,127,121.75862069,336.66587396,0
3656,explore,0.9172582749999588,1,-96.0,1,0,0,0,167,95,120.866666667,348.515555556,"[0.066476732, 0.030691208, 0.017961394, 0.01782413]"
3752,explore,0.9124587549999564,2,-96.0,1,0,0,0,167,95,120.032258065,358.16024974,0
3976,explore,0.9012598749999509,1,-96.0,7,0,0,0,223,223,123.25,667.9375,"[0.049374625, 0.020777997, 0.013890225, 0.014706405]"
4112,explore,0.8944605549999475,0,-96.0,3,0,0,0,223,135,123.606060606,651.753902663,0
4232,explore,0.8884611549999445,1,-96.0,2,0,0,0,223,119,123.470588235,633.190311419,0
4352,explore,0.8824617549999415,1,-96.0,2,0,0,0,223,119,123.342857143,615.653877551,0
4496,explore,0.8752624749999379,0,-96.0,4,0,0,0,223,143,123.888888889,608.987654321,"[0.058796115, 0.018798953, 0.024184283, 0.015812879]"
4608,explore,0.8696630349999351,1,-96.0,2,0,0,0,223,111,123.540540541,596.897005113,0
4728,explore,0.8636636349999322,2,-96.0,2,0,0,0,223,119,123.421052632,581.717451524,0
4832,explore,0.8584641549999296,1,-96.0,2,0,0,0,223,103,122.897435897,577.220249836,0
4960,explore,0.8520647949999264,0,-96.0,3,0,0,0,223,127,123.0,563.2,0
5080,explore,0.8460653949999234,1,-96.0,2,0,0,0,223,119,122.902439024,549.844140393,0
5200,explore,0.8400659949999204,2,-96.0,2,0,0,0,223,119,122.80952381,537.106575964,0
5344,explore,0.8328667149999168,1,-96.0,3,0,0,0,223,143,123.279069767,533.875608437,0
5464,explore,0.8268673149999138,0,-96.0,2,0,0,0,223,119,123.181818182,522.148760331,0
5584,explore,0.8208679149999109,0,-96.0,2,0,0,0,223,119,123.088888889,510.925432099,0
5680,explore,0.8160683949999085,1,-96.0,1,0,0,0,223,95,122.47826087,516.597353497,0
5824,explore,0.8088691149999049,1,-96.0,3,0,0,0,223,143,122.914893617,514.375735627,0
5920,explore,0.8040695949999025,2,-96.0,1,0,0,0,223,95,122.333333333,519.555555556,0
6016,explore,0.7992700749999001,2,-96.0,1,0,0,0,223,95,121.775510204,523.888379842,"[0.058232863, 0.012546132, 0.022138581, 0.023548149]"
6112,explore,0.7944705549998977,0,-96.0,1,0,0,0,223,95,121.24,527.4624,0
6304,explore,0.7848715149998929,1,-96.0,5,0,0,0,223,191,191.0,0.0,0
6400,explore,0.7800719949998906,1,-96.0,1,0,0,0,223,95,143.0,2304.0,0
6520,explore,0.7740725949998876,2,-96.0,2,0,0,0,223,119,135.0,1664.0,0
6648,explore,0.7676732349998844,1,-96.0,3,0,0,0,223,127,133.0,1260.0,0
6800,explore,0.7600739949998806,1,-96.0,4,0,0,0,223,151,136.6,1059.84,0
6944,explore,0.752874714999877,0,-96.0,3,0,0,0,223,143,137.666666667,888.888888889,0
7064,explore,0.746875314999874,1,-96.0,2,0,0,0,223,119,135.0,804.571428571,0
7160,explore,0.7420757949998716,1,-96.0,1,0,0,0,223,95,130.0,879.0,0
7280,explore,0.7360763949998687,2,-96.0,2,0,0,0,223,119,128.777777778,793.283950617,0
7392,explore,0.7304769549998659,1,-96.0,2,0,0,0,223,111,127.0,742.4,0
7536,explore,0.7232776749998623,0,-96.0,4,0,0,0,223,143,128.454545455,696.066115702,"[0.058004349, 0.015448789, 0.018461827, 0.024093732]"
7632,explore,0.7184781549998599,1,-96.0,1,0,0,0,223,95,125.666666667,723.555555556,0
7776,explore,0.7112788749998563,2,-96.0,3,0,0,0,223,143,127.0,689.230769231,"[0.057010077, 0.010543278, 0.024923544, 0.021543253]"
7872,explore,0.7064793549998539,1,-96.0,1,0,0,0,223,95,124.714285714,707.918367347,0
7968,explore,0.7016798349998515,2,-96.0,1,0,0,0,223,95,122.733333333,715.662222222,0
8064,explore,0.6968803149998491,1,-96.0,1,0,0,0,223,95,121.0,716.0,0
8208,explore,0.6896810349998456,1,-96.0,3,0,0,0,223,143,122.294117647,700.678200692,0
8304,explore,0.6848815149998432,1,-96.0,1,0,0,0,223,95,120.777777778,700.839506173,0
8464,explore,0.6768823149998392,0,-96.0,4,0,0,0,223,159,122.789473684,736.797783934,0
8712,explore,0.664483554999833,2,-96.0,7,0,0,0,247,247,129.0,1432.8,0
8808,explore,0.6596840349998306,0,-96.0,1,0,0,0,247,95,127.380952381,1416.99773243,0
8992,explore,0.6504849549998261,1,-96.0,5,0,0,0,247,183,129.909090909,1486.80991736,0
9088,explore,0.6456854349998237,2,-96.0,1,0,0,0,247,95,128.391304348,1472.84688091,0
9224,explore,0.6388861149998203,0,-96.0,3,0,0,0,247,135,128.666666667,1413.22222222,0
9344,explore,0.6328867149998173,1,-96.0,2,0,0,0,247,119,128.28,1360.2816,0
9440,explore,0.6280871949998149,1,-96.0,1,0,0,0,247,95,127.0,1348.92307692,0
9560,explore,0.6220877949998119,1,-96.0,2,0,0,0,247,119,126.703703704,1301.24554184,0
9696,explore,0.6152884749998085,1,-96.0,3,0,0,0,247,135,127.0,1257.14285714,"[0.064477615, 0.016016752, 0.024392061, 0.024068803]"
9816,explore,0.6092890749998056,2,-96.0,2,0,0,0,247,119,126.724137931,1215.92390012,"[0.041741587, 0.014549511, 0.011859814, 0.015332261]"
10040,explore,0.5980901949998,1,-96.0,8,0,0,0,247,223,129.933333333,1474.06222222,0
10216,explore,0.5892910749997956,1,-96.0,5,0,0,0,247,175,131.387096774,1489.91467222,"[0.052256852, 0.011206638, 0.021422528, 0.019627687]"
10320,explore,0.584091594999793,0,-96.0,2,0,0,0,247,103,130.5,1467.75,0
10496,explore,0.5752924749997886,2,-96.0,5,0,0,0,247,175,131.848484848,1481.46189164,"[0.076513201, 0.014432209, 0.023110874, 0.038970124]"
10592,explore,0.5704929549997863,0,-96.0,1,0,0,0,247,95,130.764705882,1476.65051903,0
10696,explore,0.5652934749997837,1,-96.0,2,0,0,0,247,103,129.971428571,1455.85632653,"[0.049807698, 0.010020568, 0.017106373, 0.022680758]"
10864,explore,0.5568943149997795,1,-96.0,5,0,0,0,247,167,131.0,1452.44444444,0
11056,explore,0.5472952749997747,1,-96.0,5,0,0,0,247,191,132.621621622,1507.8568298,"[0.070003137, 0.022498393, 0.024570446, 0.022934297]"
11200,explore,0.5400959949997711,1,-96.0,3,0,0,0,247,143,132.894736842,1470.93628809,0
11424,explore,0.5288971149997655,1,-96.0,6,0,0,0,247,223,135.205128205,1636.06048652,0
11520,explore,0.5240975949997632,1,-96.0,1,0,0,0,247,95,134.2,1634.56,0
11664,explore,0.5168983149997596,2,-96.0,3,0,0,0,247,143,134.414634146,1596.5353956,0
11760,explore,0.5120987949997572,1,-96.0,1,0,0,0,247,95,133.476190476,1594.63038549,0
11872,explore,0.5064993549997544,1,-96.0,2,0,0,0,247,111,132.953488372,1569.02109248,0
12064,explore,0.4969003149997496,2,-96.0,5,0,0,0,247,191,134.272727273,1608.19834711,0
12320,explore,0.48410159499974326,1,-96.0,8,0,0,0,255,255,136.955555556,1889.15358025,0
12616,explore,0.4693030749997359,1,-96.0,8,0,0,0,295,295,140.391304348,2379.28166352,"[0.059532523, 0.0095139211, 0.028092721, 0.021925883]"
12712,explore,0.4645035549997335,1,-96.0,1,0,0,0,295,95,139.425531915,2371.56360344,0
12880,explore,0.4561043949997293,0,-96.0,4,0,0,0,295,167,140.0,2337.66666667,0
13000,explore,0.45010499499972634,1,-96.0,3,0,0,0,295,119,139.571428571,2298.7755102,0
13120,explore,0.44410559499972335,0,-96.0,2,0,0,0,295,119,139.16,2261.0944,0
13296,explore,0.435306474999719,0,-96.0,5,0,0,0,295,175,175.0,0.0,"[0.0687709, 0.010297283, 0.025133906, 0.033339716]"
13440,explore,0.4281071949997154,1,-96.0,3,0,0,0,295,143,159.0,256.0,0
13560,explore,0.4221077949997124,1,-96.0,2,0,0,0,295,119,145.666666667,526.222222222,0
13656,explore,0.41730827499971,0,-96.0,1,0,0,0,295,95,133.0,876.0,"[0.061331563, 0.025558803, 0.020875007, 0.014897751]"
13776,explore,0.41130887499970703,1,-96.0,2,0,0,0,295,119,130.2,732.16,"[0.056346476, 0.017127849, 0.024347913, 0.014870713]"
14024,explore,0.39891011499970086,1,-96.0,7,0,0,0,295,247,149.666666667,2504.88888889,0
14232,explore,0.3885111549996957,0,-96.0,6,0,0,0,295,207,157.857142857,2549.55102041,0
14400,explore,0.3801119949996915,1,-96.0,4,0,0,0,295,167,159.0,2240.0,0
14592,explore,0.3705129549996867,1,-96.0,5,0,0,0,295,191,162.555555556,2092.24691358,0
14688,explore,0.36571343499968434,1,-96.0,1,0,0,0,295,95,155.8,2293.76,0
14808,explore,0.35971403499968135,0,-96.0,2,0,0,0,295,119,152.454545455,2197.15702479,0
14928,explore,0.35371463499967837,1,-96.0,2,0,0,0,295,119,149.666666667,2099.55555556,0
15024,explore,0.348915114999676,1,-96.0,1,0,0,0,295,95,145.461538462,2150.24852071,0
15184,explore,0.340915914999672,2,-96.0,5,0,0,0,295,159,146.428571429,2008.81632653,0
15280,explore,0.3361163949996696,1,-96.0,1,0,0,0,295,95,143.0,2039.46666667,0
15376,explore,0.3313168749996672,1,-96.0,1,0,0,0,295,95,140.0,2047.0,"[0.053121902, 0.0043319692, 0.037906021, 0.010883912]"
15472,explore,0.32651735499966483,1,-96.0,1,0,0,0,295,95,137.352941176,2038.69896194,0
15592,explore,0.32051795499966185,1,-96.0,2,0,0,0,295,119,136.333333333,1943.11111111,0
15688,explore,0.31571843499965946,1,-96.0,1,0,0,0,295,95,134.157894737,1926.02770083,0
