Time,State,Epsilon,Action,Reward,Medkit,Poison,Frags,Amo,Max Life,Life,Mean Score,Var Score,Loss
96,observe,1.0,2,-96.0,1,0,0,0,95,95,95.0,0.0,0
240,observe,1.0,1,-96.0,3,0,0,0,143,143,119.0,576.0,0
336,observe,1.0,2,-96.0,1,0,0,0,143,95,111.0,512.0,0
456,observe,1.0,1,-96.0,2,0,0,0,143,119,113.0,396.0,0
568,observe,1.0,0,-96.0,2,0,0,0,143,111,112.6,317.43999999999994,0
688,observe,1.0,0,-96.0,2,0,0,0,143,119,113.66666666666667,270.2222222222222,0
808,observe,1.0,2,-96.0,2,0,0,0,143,119,114.42857142857143,235.10204081632656,0
928,observe,1.0,1,-96.0,3,0,0,0,143,119,115.0,208.0,0
1048,observe,1.0,0,-96.0,2,0,0,0,143,119,115.44444444444444,186.46913580246914,0
1168,observe,1.0,2,-96.0,2,0,0,0,143,119,115.8,168.95999999999998,0
1272,observe,1.0,2,-96.0,2,0,0,0,143,103,114.63636363636364,167.14049586776858,0
1408,observe,1.0,1,-96.0,3,0,0,0,143,135,116.33333333333333,184.88888888888889,0
1504,observe,1.0,1,-96.0,1,0,0,0,143,95,114.6923076923077,202.98224852071004,0
1624,observe,1.0,1,-96.0,2,0,0,0,143,119,115.0,189.71428571428572,0
1744,observe,1.0,2,-96.0,2,0,0,0,143,119,115.26666666666667,178.0622222222222,0
1864,observe,1.0,1,-96.0,2,0,0,0,143,119,115.5,167.75,0
1960,observe,1.0,1,-96.0,1,0,0,0,143,95,114.29411764705883,181.14878892733563,0
2152,explore,0.9969803020000052,1,-96.0,5,0,0,0,191,191,118.55555555555556,479.80246913580254,0
2248,explore,0.9950604940000085,1,-96.0,1,0,0,0,191,95,117.3157894736842,482.21606648199446,0
2368,explore,0.9926607340000126,0,-96.0,2,0,0,0,191,119,117.4,458.23999999999995,0
2488,explore,0.9902609740000168,0,-96.0,2,0,0,0,191,119,117.47619047619048,436.5351473922902,0
2632,explore,0.9873812620000217,1,-96.0,3,0,0,0,191,143,118.63636363636364,444.9586776859505,0
2728,explore,0.985461454000025,2,-96.0,1,0,0,0,191,95,117.6086956521739,448.84688090737234,0
2888,explore,0.9822617740000306,1,-96.0,4,0,0,0,191,159,119.33333333333333,498.5555555555556,0
2984,explore,0.9803419660000339,1,-96.0,1,0,0,0,191,95,118.36,501.3503999999999,0
3104,explore,0.977942206000038,0,-96.0,2,0,0,0,191,119,118.38461538461539,482.08284023668637,0
3200,explore,0.9760223980000413,2,-96.0,1,0,0,0,191,95,117.51851851851852,483.73113854595334,0
3352,explore,0.9729827020000466,2,-96.0,4,0,0,0,191,151,118.71428571428571,505.06122448979596,0
3448,explore,0.9710628940000499,2,-96.0,1,0,0,0,191,95,117.89655172413794,506.3686087990488,0
3544,explore,0.9691430860000532,0,-96.0,1,0,0,0,191,95,117.13333333333334,506.38222222222214,0
3680,explore,0.9664233580000579,2,-96.0,3,0,0,0,191,135,117.70967741935483,500.01248699271594,0
3776,explore,0.9645035500000612,1,-96.0,1,0,0,0,191,95,117.0,500.0,"[0.06641199, 0.03185191, 0.01987683, 0.014683244]"
3896,explore,0.9621037900000653,0,-96.0,2,0,0,0,191,119,117.06060606060606,484.96602387511473,"[0.059998132, 0.011034017, 0.02146694, 0.027497172]"
3992,explore,0.9601839820000686,0,-96.0,1,0,0,0,191,95,116.41176470588235,484.5951557093426,0
4128,explore,0.9574642540000733,1,-96.0,3,0,0,0,191,135,116.94285714285714,480.33959183673477,0
4224,explore,0.9555444460000766,2,-96.0,1,0,0,0,191,95,116.33333333333333,480.0,0
4352,explore,0.952984702000081,1,-96.0,3,0,0,0,191,127,116.62162162162163,470.0189919649379,0
4496,explore,0.950104990000086,1,-96.0,3,0,0,0,191,143,117.3157894736842,475.4792243767312,"[0.061192658, 0.024784172, 0.013695988, 0.022712499]"
4616,explore,0.9477052300000901,0,-96.0,2,0,0,0,191,119,117.35897435897436,463.3583168967784,"[0.057047706, 0.010532409, 0.012175926, 0.034339372]"
4712,explore,0.9457854220000934,2,-96.0,1,0,0,0,191,95,116.8,463.9599999999999,0
4808,explore,0.9438656140000967,2,-96.0,1,0,0,0,191,95,116.26829268292683,463.9524092801903,0
4904,explore,0.9419458060001,0,-96.0,1,0,0,0,191,95,115.76190476190476,463.41950113378687,0
5024,explore,0.9395460460001042,1,-96.0,2,0,0,0,191,119,115.83720930232558,452.8804759329367,0
5144,explore,0.9371462860001083,2,-96.0,2,0,0,0,191,119,115.9090909090909,442.80991735537197,0
5240,explore,0.9352264780001116,1,-96.0,1,0,0,0,191,95,115.44444444444444,442.46913580246917,0
5384,explore,0.9323467660001166,1,-96.0,3,0,0,0,191,143,116.04347826086956,448.9981096408317,0
5480,explore,0.9304269580001199,0,-96.0,1,0,0,0,191,95,115.59574468085107,448.66636487098236,0
5576,explore,0.9285071500001232,2,-96.0,1,0,0,0,191,95,115.16666666666667,447.9722222222222,"[0.054454584, 0.025729455, 0.01616145, 0.012563679]"
5744,explore,0.925147486000129,1,-96.0,4,0,0,0,191,167,116.22448979591837,492.5414410662224,0
5840,explore,0.9232276780001323,2,-96.0,1,0,0,0,191,95,115.8,491.52,0
5984,explore,0.9203479660001372,0,-96.0,3,0,0,0,191,143,143.0,0.0,0
6120,explore,0.9176282380001419,0,-96.0,3,0,0,0,191,135,139.0,16.0,0
6216,explore,0.9157084300001452,2,-96.0,1,0,0,0,191,95,124.33333333333333,440.88888888888886,"[0.057145044, 0.022469249, 0.019430298, 0.015245497]"
6416,explore,0.9117088300001521,0,-96.0,6,0,0,0,199,199,143.0,1376.0,"[0.060727656, 0.029429028, 0.021140048, 0.010158578]"
6512,explore,0.9097890220001554,1,-96.0,1,0,0,0,199,95,133.4,1469.44,0
6608,explore,0.9078692140001587,0,-96.0,1,0,0,0,199,95,127.0,1429.3333333333333,0
6704,explore,0.905949406000162,1,-96.0,1,0,0,0,199,95,122.42857142857143,1350.5306122448978,0
6864,explore,0.9027497260001676,1,-96.0,4,0,0,0,199,159,127.0,1328.0,0
6960,explore,0.9008299180001709,1,-96.0,1,0,0,0,199,95,123.44444444444444,1281.5802469135804,0
7080,explore,0.898430158000175,2,-96.0,2,0,0,0,199,119,123.0,1155.2,0
7200,explore,0.8960303980001791,0,-96.0,3,0,0,0,199,119,122.63636363636364,1051.5041322314048,0
7344,explore,0.8931506860001841,1,-96.0,3,0,0,0,199,143,124.33333333333333,995.5555555555558,0
7440,explore,0.8912308780001874,0,-96.0,1,0,0,0,199,95,122.07692307692308,980.0710059171597,0
7560,explore,0.8888311180001915,0,-96.0,2,0,0,0,199,119,121.85714285714286,910.6938775510204,0
7680,explore,0.8864313580001957,0,-96.0,2,0,0,0,199,119,121.66666666666667,850.4888888888889,0
7824,explore,0.8835516460002006,1,-96.0,3,0,0,0,199,143,123.0,824.0,0
7944,explore,0.8811518860002048,2,-96.0,2,0,0,0,199,119,122.76470588235294,776.4152249134946,0
8104,explore,0.8779522060002103,1,-96.0,4,0,0,0,199,159,124.77777777777777,802.1728395061729,0
8272,explore,0.8745925420002161,2,-96.0,4,0,0,0,199,167,127.0,848.8421052631579,0
8384,explore,0.8723527660002199,0,-96.0,2,0,0,0,199,111,126.2,818.5600000000001,0
8528,explore,0.8694730540002249,2,-96.0,3,0,0,0,199,143,127.0,792.3809523809524,0
8640,explore,0.8672332780002288,1,-96.0,2,0,0,0,199,111,126.27272727272727,767.4710743801653,0
8760,explore,0.8648335180002329,1,-96.0,2,0,0,0,199,119,125.95652173913044,736.3024574669188,0
8856,explore,0.8629137100002362,2,-96.0,1,0,0,0,199,95,124.66666666666667,743.888888888889,"[0.06253998, 0.023607254, 0.008680556, 0.030252166]"
8976,explore,0.8605139500002403,2,-96.0,2,0,0,0,199,119,124.44,715.3664,"[0.06408997, 0.01875386, 0.025524693, 0.019811418]"
9072,explore,0.8585941420002436,2,-96.0,1,0,0,0,199,95,123.3076923076923,719.9053254437871,0
9168,explore,0.856674334000247,2,-96.0,1,0,0,0,199,95,122.25925925925925,721.8216735253772,0
9304,explore,0.8539546060002516,2,-96.0,3,0,0,0,199,135,122.71428571428571,701.6326530612247,0
9440,explore,0.8512348780002563,0,-96.0,3,0,0,0,199,135,123.13793103448276,682.4637336504162,0
9536,explore,0.8493150700002596,1,-96.0,1,0,0,0,199,95,122.2,685.2266666666668,"[0.06747022, 0.035544224, 0.013815587, 0.018110406]"
9728,explore,0.8454754540002662,2,-96.0,5,0,0,0,199,191,124.41935483870968,810.8886576482829,0
9824,explore,0.8435556460002696,2,-96.0,1,0,0,0,199,95,123.5,811.75,0
10008,explore,0.8398760140002759,2,-96.0,5,0,0,0,199,183,125.3030303030303,891.1808999081726,0
10104,explore,0.8379562060002792,0,-96.0,1,0,0,0,199,95,124.41176470588235,891.1833910034602,0
10200,explore,0.8360363980002825,2,-96.0,1,0,0,0,199,95,123.57142857142857,889.730612244898,0
10296,explore,0.8341165900002858,1,-96.0,1,0,0,0,199,95,122.77777777777777,887.0617283950618,"[0.057054646, 0.024681909, 0.02160494, 0.010767794]"
10400,explore,0.8320367980002894,1,-96.0,2,0,0,0,199,103,122.24324324324324,873.373265157049,0
10496,explore,0.8301169900002927,2,-96.0,1,0,0,0,199,95,121.52631578947368,869.4072022160663,"[0.060896333, 0.019228395, 0.019163258, 0.02250468]"
10704,explore,0.8259574060002999,2,-96.0,5,0,0,0,207,207,123.71794871794872,1029.638395792242,0
10824,explore,0.823557646000304,2,-96.0,2,0,0,0,207,119,123.6,1004.4399999999999,0
10992,explore,0.8201979820003098,2,-96.0,4,0,0,0,207,167,124.65853658536585,1024.7614515169541,0
11144,explore,0.817158286000315,0,-96.0,4,0,0,0,207,151,125.28571428571429,1016.4897959183673,0
11280,explore,0.8144385580003197,1,-96.0,3,0,0,0,207,135,125.51162790697674,994.9940508382912,0
11544,explore,0.8091590860003288,2,-96.0,8,0,0,0,263,263,128.63636363636363,1392.2314049586776,0
11680,explore,0.8064393580003335,0,-96.0,3,0,0,0,263,135,128.77777777777777,1362.1728395061727,0
11800,explore,0.8040395980003376,2,-96.0,2,0,0,0,263,119,128.56521739130434,1334.5935727788278,0
11928,explore,0.801479854000342,0,-96.0,3,0,0,0,263,127,128.53191489361703,1306.2489814395656,0
12048,explore,0.7990800940003462,0,-96.0,3,0,0,0,263,119,128.33333333333334,1280.888888888889,0
12168,explore,0.7966803340003503,1,-96.0,2,0,0,0,263,119,128.14285714285714,1256.4897959183675,0
12264,explore,0.7947605260003536,0,-96.0,1,0,0,0,263,95,127.48,1252.8896,0
12360,explore,0.7928407180003569,2,-96.0,1,0,0,0,263,95,95.0,0.0,0
12480,explore,0.7904409580003611,1,-96.0,2,0,0,0,263,119,107.0,144.0,0
12576,explore,0.7885211500003644,1,-96.0,1,0,0,0,263,95,103.0,128.0,"[0.06049203, 0.01922068, 0.021836422, 0.01943493]"
12696,explore,0.7861213900003685,0,-96.0,2,0,0,0,263,119,107.0,144.0,"[0.053710803, 0.011138119, 0.014598766, 0.02797392]"
12792,explore,0.7842015820003718,0,-96.0,1,0,0,0,263,95,104.6,138.23999999999998,0
12888,explore,0.7822817740003751,0,-96.0,1,0,0,0,263,95,103.0,128.0,0
13032,explore,0.7794020620003801,0,-96.0,4,0,0,0,263,143,108.71428571428571,305.6326530612245,0
13152,explore,0.7770023020003842,2,-96.0,2,0,0,0,263,119,110.0,279.0,0
13256,explore,0.7749225100003878,1,-96.0,2,0,0,0,263,103,109.22222222222223,252.83950617283952,"[0.058683794, 0.020364694, 0.016195988, 0.02212311]"
13408,explore,0.771882814000393,0,-96.0,4,0,0,0,263,151,113.4,384.64000000000004,0
13528,explore,0.7694830540003972,0,-96.0,2,0,0,0,263,119,113.9090909090909,352.26446280991735,0
13624,explore,0.7675632460004005,0,-96.0,1,0,0,0,263,95,112.33333333333333,350.22222222222223,0
13728,explore,0.7654834540004041,0,-96.0,2,0,0,0,263,103,111.61538461538461,329.4674556213018,0
13856,explore,0.7629237100004085,2,-96.0,3,0,0,0,263,127,112.71428571428571,321.63265306122446,"[0.06133649, 0.028094139, 0.012874229, 0.020368125]"
13952,explore,0.7610039020004118,0,-96.0,1,0,0,0,263,95,111.53333333333333,319.7155555555555,0
14048,explore,0.7590840940004151,1,-96.0,1,0,0,0,263,95,110.5,315.75,0
14144,explore,0.7571642860004184,0,-96.0,1,0,0,0,263,95,109.58823529411765,310.47750865051904,0
14669,explore,0.7466653360004365,1,4.0,22,0,0,0,524,524,132.61111111111111,9304.126543209879,0
14813,explore,0.7437856240004415,0,-96.0,3,0,0,0,524,143,133.1578947368421,8819.817174515236,0
14909,explore,0.7418658160004448,0,-96.0,1,0,0,0,524,95,131.25,8447.9875,0
15053,explore,0.7389861040004497,0,-96.0,3,0,0,0,524,143,131.8095238095238,8051.963718820863,0
15197,explore,0.7361063920004547,2,-96.0,4,0,0,0,524,143,132.3181818181818,7691.398760330579,0
15333,explore,0.7333866640004594,1,-96.0,3,0,0,0,524,135,132.43478260869566,7357.289224952741,0
15461,explore,0.7308269200004638,0,-96.0,3,0,0,0,524,127,132.20833333333334,7051.914930555555,"[0.056296036, 0.021140048, 0.022723768, 0.012432218]"
15621,explore,0.7276272400004693,1,-96.0,4,0,0,0,524,159,133.28,6797.401600000003,"[0.063236594, 0.013368057, 0.024070218, 0.025798324]"
15717,explore,0.7257074320004726,2,-96.0,1,0,0,0,524,95,131.80769230769232,6590.155325443786,0
15813,explore,0.7237876240004759,0,-96.0,1,0,0,0,524,95,130.44444444444446,6394.3950617283945,0
15949,explore,0.7210678960004806,2,-96.0,3,0,0,0,524,135,130.60714285714286,6166.738520408164,0
16277,explore,0.7145085520004919,2,-96.0,11,0,0,0,524,327,137.3793103448276,7238.235434007135,0
16373,explore,0.7125887440004952,2,-96.0,1,0,0,0,524,95,135.96666666666667,7054.8322222222205,0
16525,explore,0.7095490480005004,2,-96.0,4,0,0,0,524,151,136.4516129032258,6834.312174817896,0
16621,explore,0.7076292400005038,1,-96.0,1,0,0,0,524,95,135.15625,6672.7568359375,"[0.064030945, 0.028287243, 0.015308643, 0.020435054]"
16733,explore,0.7053894640005076,2,-96.0,3,0,0,0,524,111,134.42424242424244,6487.69880624426,0
16845,explore,0.7031496880005115,1,-96.0,3,0,0,0,524,111,133.73529411764707,6312.5475778546715,0
17029,explore,0.6994700560005178,0,-96.0,6,0,0,0,524,183,135.14285714285714,6199.551020408165,0
17149,explore,0.697070296000522,2,-96.0,2,0,0,0,524,119,134.69444444444446,6034.378858024693,0
17293,explore,0.6941905840005269,0,-96.0,3,0,0,0,524,143,134.9189189189189,5873.101533966398,0
17437,explore,0.6913108720005319,0,-96.0,3,0,0,0,524,143,135.1315789473684,5720.219529085873,0
17565,explore,0.6887511280005363,0,-96.0,3,0,0,0,524,127,134.92307692307693,5575.199211045367,0
17685,explore,0.6863513680005404,2,-96.0,2,0,0,0,524,119,134.525,5441.999375000001,0
17853,explore,0.6829917040005462,0,-96.0,4,0,0,0,524,167,135.3170731707317,5334.362879238549,0
