Time,State,Epsilon,Action,Reward,Medkit,Poison,Frags,Amo,Max Life,Life,Mean Score,Var Score,Loss
64,observe,1.0,4,0.0,0,0,2.0,0,63,63,63.0,0.0,0
287,observe,1.0,3,0.0,0,0,3.0,0,222,222,142.5,6320.25,0
418,observe,1.0,3,0.0,0,0,1.0,0,222,130,138.333333333,4248.22222222,0
457,observe,1.0,5,0.0,0,0,0.0,0,222,38,113.25,5073.6875,0
597,observe,1.0,7,0.0,0,0,2.0,0,222,139,118.4,4165.04,0
712,observe,1.0,4,0.0,0,0,3.0,0,222,114,117.666666667,3473.55555556,0
767,observe,1.0,7,0.0,0,0,1.0,0,222,54,108.571428571,3473.67346939,0
892,observe,1.0,2,0.0,0,0,0.0,0,222,124,110.5,3065.5,0
953,observe,1.0,7,0.0,0,0,1.0,0,222,60,104.888888889,2976.7654321,0
1028,observe,1.0,4,0.0,0,0,0.0,0,222,74,101.8,2764.96,0
1274,observe,1.0,2,0.0,0,0,2.0,0,245,245,114.818181818,4208.33057851,0
1373,observe,1.0,7,0.0,0,0,1.0,0,245,98,113.416666667,3879.24305556,0
1513,observe,1.0,0,0.0,0,0,2.0,0,245,139,115.384615385,3627.31360947,0
1636,observe,1.0,3,0.0,0,0,0.0,0,245,122,115.857142857,3371.12244898,0
1710,observe,1.0,3,0.0,0,0,2.0,0,245,73,113.0,3260.66666667,0
1829,observe,1.0,7,0.0,0,0,1.0,0,245,118,113.3125,3058.33984375,0
1878,observe,1.0,5,0.0,0,0,0.0,0,245,48,109.470588235,3114.60207612,0
1964,observe,1.0,4,0.0,0,0,0.0,0,245,85,108.111111111,2972.98765432,0
2075,explore,0.9985201480000025,4,0.0,0,0,3.0,0,245,110,108.210526316,2816.69252078,0
2155,explore,0.9969203080000053,3,0.0,0,0,0.0,0,245,79,106.75,2716.3875,0
2242,explore,0.9951804820000083,5,0.0,0,0,0.0,0,245,86,105.761904762,2606.56235828,0
2307,explore,0.9938806120000105,7,0.0,0,0,0.0,0,245,64,103.863636364,2563.75413223,0
2397,explore,0.9920807920000136,1,0.0,0,0,1.0,0,245,89,103.217391304,2461.47448015,0
2551,explore,0.989001100000019,0,0.0,0,0,0.0,0,245,153,105.291666667,2457.87326389,"[0.038950861, 0.0061349822, 0.008236032, 0.0061958875, 0.0019638778, 0.0050615477, 0.00030655373, 0.01085338, 0.00019859997]"
2742,explore,0.9851814820000255,4,0.0,0,0,0.0,0,245,190,108.68,2635.0976,0
2864,explore,0.9827417260000297,1,0.0,0,0,0.0,0,245,121,109.153846154,2539.36094675,0
3200,explore,0.9760223980000413,6,0.0,0,0,2.0,0,335,335,117.518518519,4264.47187929,0
3289,explore,0.9742425760000444,4,0.0,0,0,0.0,0,335,88,116.464285714,4142.17729592,0
3406,explore,0.9719028100000484,1,0.0,0,0,1.0,0,335,116,116.448275862,3999.35077289,"[0.063829087, 0.012910948, 0.013157608, 0.0014487322, 0.0037239585, 0.017649345, 0.0028645836, 0.0033811564, 0.0086927563]"
3471,explore,0.9706029400000507,6,0.0,0,0,0.0,0,335,64,114.7,3954.67666667,"[0.043851767, 0.0098609012, 0.0040989579, 0.0010768935, 0.0072037661, 0.0076666917, 0.0026567928, 0.005499186, 0.0057885749]"
3514,explore,0.9697430260000521,1,0.0,0,0,0.0,0,335,42,112.35483871,3992.09989594,0
3590,explore,0.9682231780000548,3,0.0,0,0,1.0,0,335,75,111.1875,3909.58984375,0
3627,explore,0.967483252000056,7,0.0,0,0,0.0,0,335,36,108.909090909,3957.23415978,0
3708,explore,0.9658634140000588,2,0.0,0,0,1.0,0,335,80,108.058823529,3864.70242215,0
4059,explore,0.9588441160000709,5,0.0,0,0,3.0,0,350,350,114.971428571,5378.94204082,0
4144,explore,0.9571442860000738,3,0.0,0,0,0.0,0,350,84,114.111111111,5255.43209877,0
4211,explore,0.9558044200000761,4,0.0,0,0,1.0,0,350,66,112.810810811,5174.26150475,"[0.068062231, 0.015704866, 0.010744791, 0.00047012314, 0.0032656253, 0.021713542, 0.0093593737, 0.0046528187, 0.0021510834]"
4473,explore,0.9505649440000852,2,0.0,0,0,2.0,0,350,261,116.710526316,5600.78462604,0
4763,explore,0.9447655240000952,2,0.0,0,0,3.0,0,350,289,121.128205128,6198.77843524,0
4857,explore,0.9428857120000984,2,0.0,0,0,0.0,0,350,93,120.425,6063.094375,0
4965,explore,0.9407259280001021,1,0.0,0,0,1.0,0,350,107,120.097560976,5919.50267698,0
5043,explore,0.9391660840001048,5,0.0,0,0,0.0,0,350,77,119.071428571,5821.7329932,0
5193,explore,0.93616638400011,7,0.0,0,0,1.0,0,350,149,119.76744186,5706.69010276,0
5268,explore,0.9346665340001126,3,0.0,0,0,2.0,0,350,74,118.727272727,5623.51652893,0
5376,explore,0.9325067500001163,5,0.0,0,0,0.0,0,350,107,118.466666667,5501.53777778,"[0.028133973, 0.0046623726, 0.0012396069, 0.00049233175, 0.00020312502, 0.019203126, 0.0011093749, 0.0012240362, 0.0]"
5519,explore,0.9296470360001212,6,0.0,0,0,2.0,0,350,142,118.97826087,5393.71691871,0
5634,explore,0.9273472660001252,1,0.0,0,0,3.0,0,350,114,118.872340426,5279.47306474,0
5740,explore,0.9252274780001288,3,0.0,0,0,0.0,0,350,105,118.583333333,5173.40972222,0
5821,explore,0.9236076400001316,4,0.0,0,0,2.0,0,350,80,117.795918367,5097.59100375,"[0.073389173, 0.022287633, 0.0085833948, 0.0015229064, 0.018317709, 0.00050001085, 0.0069427085, 0.0057452149, 0.0094895856]"
5908,explore,0.9218678140001346,5,0.0,0,0,0.0,0,350,86,117.16,5015.4544,0
5999,explore,0.9200479960001378,2,0.0,0,0,0.0,0,350,90,90.0,0.0,0
6070,explore,0.9186281380001402,2,0.0,0,0,0.0,0,350,70,80.0,100.0,0
6185,explore,0.9163283680001442,3,0.0,0,0,0.0,0,350,114,91.3333333333,323.555555556,0
6279,explore,0.9144485560001474,0,0.0,0,0,0.0,0,350,93,91.75,243.1875,0
6371,explore,0.9126087400001506,7,0.0,0,0,4.0,0,350,91,91.6,194.64,"[0.059160694, 0.0092556057, 0.00031250002, 0.0031548939, 0.0054637487, 0.011628509, 0.011266858, 0.010484381, 0.0075941994]"
6499,explore,0.910048996000155,1,0.0,0,0,0.0,0,350,127,97.5,336.25,0
6566,explore,0.9087091300001573,1,0.0,0,0,1.0,0,350,66,93.0,409.714285714,"[0.047672424, 0.0046148608, 0.0049951663, 0.0033923821, 0.015512649, 0.0090833511, 0.0031562536, 0.006917763, 0.0]"
6670,explore,0.9066293380001609,3,0.0,0,0,0.0,0,350,103,94.25,369.4375,0
6795,explore,0.9041295880001652,1,0.0,0,0,0.0,0,350,124,97.5555555556,415.802469136,0
6857,explore,0.9028897120001673,5,0.0,0,0,2.0,0,350,61,93.9,494.49,0
6938,explore,0.9012698740001701,7,0.0,0,0,0.0,0,350,80,92.6363636364,465.504132231,0
7030,explore,0.8994300580001733,7,0.0,0,0,0.0,0,350,91,92.5,426.916666667,0
7101,explore,0.8980102000001757,7,0.0,0,0,0.0,0,350,70,90.7692307692,430.023668639,"[0.07380791, 0.0068389759, 0.0081136022, 0.0021831845, 0.012885619, 0.010727495, 0.01874611, 0.014286881, 2.6041669e-05]"
7314,explore,0.8937506260001831,1,0.0,0,0,0.0,0,350,212,99.4285714286,1374.10204082,0
7410,explore,0.8918308180001864,1,0.0,0,0,0.0,0,350,95,99.1333333333,1283.71555556,0
7487,explore,0.890290972000189,3,0.0,0,0,1.0,0,350,76,97.6875,1234.83984375,0
7614,explore,0.8877512260001934,1,0.0,0,0,2.0,0,350,126,99.3529411765,1206.58131488,0
7731,explore,0.8854114600001974,7,0.0,0,0,0.0,0,350,116,100.277777778,1154.08950617,"[0.02707628, 0.0031093943, 0.00032812502, 0.00075559871, 0.0062085073, 0.0023755152, 0.0015498942, 0.0087385522, 0.0040106941]"
7851,explore,0.8830117000002016,0,0.0,0,0,1.0,0,350,119,101.263157895,1110.82548476,"[0.041358419, 5.2776366e-05, 0.0010406211, 0.0017815473, 0.011933442, 0.0050016707, 0.0090627512, 0.010433503, 0.0020521064]"
8057,explore,0.8788921120002087,0,0.0,0,0,0.0,0,350,205,106.45,1566.4475,0
8188,explore,0.8762723740002132,3,0.0,0,0,1.0,0,350,130,107.571428571,1517.00680272,0
8393,explore,0.8721727840002202,4,0.0,0,0,0.0,0,350,204,111.954545455,1851.49793388,0
8531,explore,0.869413060000225,6,0.0,0,0,0.0,0,350,137,113.043478261,1797.08506616,"[0.037686355, 0.0012202, 0.0079489164, 0.00093750004, 0.0021304321, 0.0097273504, 1.5625001e-05, 0.0045109061, 0.011195425]"
8660,explore,0.8668333180002294,6,0.0,0,0,0.0,0,350,128,113.666666667,1731.13888889,0
8764,explore,0.864753526000233,0,0.0,0,0,0.0,0,350,103,113.24,1666.2624,0
8832,explore,0.8633936620002354,2,0.0,0,0,0.0,0,350,67,111.461538462,1681.24852071,0
8924,explore,0.8615538460002385,0,0.0,0,0,0.0,0,350,91,110.703703704,1633.9122085,0
8992,explore,0.8601939820002409,2,0.0,0,0,0.0,0,350,67,109.142857143,1641.33673469,0
9025,explore,0.859534048000242,0,0.0,0,0,0.0,0,350,32,106.482758621,1782.87039239,0
9177,explore,0.8564943520002473,1,0.0,0,0,2.0,0,350,151,107.966666667,1787.29888889,0
9246,explore,0.8551144900002496,7,0.0,0,0,0.0,0,350,68,106.677419355,1779.50884495,"[0.022755053, 4.6875004e-05, 0.0037078767, 0.00052607141, 0.0031366136, 0.00096354954, 0.0073750005, 0.0011674371, 0.0058316281]"
9301,explore,0.8540146000002515,2,0.0,0,0,3.0,0,350,54,105.03125,1807.90527344,"[0.067596272, 0.0081725055, 3.934175e-05, 0.0096230702, 0.017214336, 0.01611729, 0.0056721484, 0.0017355162, 0.0090220608]"
9410,explore,0.8518348180002553,5,0.0,0,0,0.0,0,350,108,105.121212121,1753.37924702,0
9504,explore,0.8499550060002585,3,0.0,0,0,0.0,0,350,93,104.764705882,1706.00346021,0
9556,explore,0.8489151100002603,5,0.0,0,0,0.0,0,350,51,103.228571429,1737.49061224,"[0.040094811, 0.00072270841, 0.0033950603, 0.014433634, 0.0053861393, 0.00039586559, 0.015730152, 0.0, 3.1250001e-05]"
9680,explore,0.8464353580002646,7,0.0,0,0,4.0,0,350,123,103.777777778,1699.78395062,0
9800,explore,0.8440355980002687,7,0.0,0,0,0.0,0,350,119,104.189189189,1659.93718042,0
9854,explore,0.8429557060002706,5,0.0,0,0,0.0,0,350,53,102.842105263,1683.39612188,0
10080,explore,0.8384361580002784,1,0.0,0,0,0.0,0,350,225,105.974358974,2013.05062459,0
10157,explore,0.836896312000281,4,0.0,0,0,0.0,0,350,76,105.225,1984.624375,0
10290,explore,0.8342365780002856,4,0.0,0,0,0.0,0,350,132,105.87804878,1953.27781083,0
10425,explore,0.8315368480002903,0,0.0,0,0,3.0,0,350,134,106.547619048,1925.15249433,0
10479,explore,0.8304569560002921,6,0.0,0,0,0.0,0,350,53,105.302325581,1945.51325041,0
10598,explore,0.8280771940002962,6,0.0,0,0,0.0,0,350,118,105.590909091,1904.87809917,0
10660,explore,0.8268373180002984,5,0.0,0,0,0.0,0,350,61,104.6,1905.75111111,0
10762,explore,0.8247975220003019,6,0.0,0,0,0.0,0,350,101,104.52173913,1864.5973535,0
10875,explore,0.8225377480003058,4,0.0,0,0,0.0,0,350,112,104.680851064,1826.08963332,0
11018,explore,0.8196780340003107,0,0.0,0,0,0.0,0,350,142,105.458333333,1816.45659722,0
11181,explore,0.8164183600003163,1,0.0,0,0,0.0,0,350,162,106.612244898,1843.29862557,"[0.063117199, 0.016203541, 0.0032239584, 0.0068917396, 0.0037031253, 0.0092608817, 0.0090002939, 0.0064794947, 0.0083541665]"
11250,explore,0.8150384980003187,0,0.0,0,0,0.0,0,350,68,105.84,1835.6544,0
11353,explore,0.8129787040003222,2,0.0,0,0,0.0,0,350,102,102.0,0.0,0
11439,explore,0.8112588760003252,5,0.0,0,0,1.0,0,350,85,93.5,72.25,0
11506,explore,0.8099190100003275,2,0.0,0,0,1.0,0,350,66,84.3333333333,216.222222222,"[0.040029749, 0.0027916667, 0.00588152, 8.3555242e-05, 0.0028575903, 0.013562856, 0.013765689, 0.0010367786, 5.0094572e-05]"
11597,explore,0.8080991920003306,6,0.0,0,0,0.0,0,350,90,85.75,168.1875,0
11704,explore,0.8059594060003343,1,0.0,0,0,0.0,0,350,106,89.8,200.16,0
11761,explore,0.8048195200003363,3,0.0,0,0,1.0,0,350,56,84.1666666667,325.472222222,"[0.05070702, 0.00086592452, 0.01280841, 0.008854147, 0.0073541692, 0.012864582, 0.0044895834, 0.0030946482, 0.00037555853]"
11834,explore,0.8033596660003388,2,0.0,0,0,0.0,0,350,72,82.4285714286,297.102040816,0
12033,explore,0.7993800640003457,6,0.0,0,0,2.0,0,350,198,96.875,1720.859375,0
12107,explore,0.7979002120003482,0,0.0,0,0,0.0,0,350,73,94.2222222222,1585.95061728,0
