Time,State,Epsilon,Action,Reward,Medkit,Poison,Frags,Amo,Max Life,Life,Mean Score,Var Score,Loss
112,observe,1.0,2,-96.0,2,0,0,0,111,111,111.0,0.0,0
280,observe,1.0,2,-96.0,5,0,0,0,167,167,139.0,784.0,0
424,observe,1.0,2,-96.0,3,0,0,0,167,143,140.333333333,526.222222222,0
568,observe,1.0,2,-96.0,3,0,0,0,167,143,141.0,396.0,0
664,observe,1.0,1,-96.0,1,0,0,0,167,95,131.8,655.36,0
760,observe,1.0,1,-96.0,1,0,0,0,167,95,125.666666667,734.222222222,0
912,observe,1.0,0,-96.0,4,0,0,0,167,151,129.285714286,707.918367347,0
1136,observe,1.0,2,-96.0,6,0,0,0,223,223,141.0,1580.0,0
1256,observe,1.0,0,-96.0,2,0,0,0,223,119,138.555555556,1452.24691358,0
1376,observe,1.0,0,-96.0,2,0,0,0,223,119,136.6,1341.44,0
1480,observe,1.0,2,-96.0,2,0,0,0,223,103,133.545454545,1312.79338843,0
1632,observe,1.0,0,-96.0,4,0,0,0,223,151,135.0,1226.66666667,0
1752,observe,1.0,0,-96.0,3,0,0,0,223,119,133.769230769,1150.4852071,0
1856,observe,1.0,0,-96.0,2,0,0,0,223,103,131.571428571,1131.10204082,0
1976,observe,1.0,2,-96.0,2,0,0,0,223,119,130.733333333,1065.52888889,0
2072,explore,0.9985801420000024,1,-96.0,1,0,0,0,223,95,128.5,1073.75,0
2192,explore,0.9961803820000066,0,-96.0,2,0,0,0,223,119,127.941176471,1015.58477509,0
2320,explore,0.993620638000011,0,-96.0,3,0,0,0,223,127,127.888888889,959.209876543,0
2416,explore,0.9917008300000143,2,-96.0,1,0,0,0,223,95,126.157894737,962.659279778,"[0.056521423, 0.013370646, 0.021436706, 0.021714071]"
2536,explore,0.9893010700000184,1,-96.0,2,0,0,0,223,119,125.8,916.96,"[0.060875308, 0.026799418, 0.013073374, 0.021002516]"
2656,explore,0.9869013100000226,1,-96.0,2,0,0,0,223,119,125.476190476,875.392290249,"[0.066432811, 0.02503508, 0.017869893, 0.023527836]"
2800,explore,0.9840215980000275,2,-96.0,3,0,0,0,223,143,126.272727273,848.925619835,0
2920,explore,0.9816218380000317,1,-96.0,2,0,0,0,223,119,125.956521739,814.215500945,0
3016,explore,0.979702030000035,1,-96.0,1,0,0,0,223,95,124.666666667,818.555555556,"[0.061512057, 0.025172219, 0.013102563, 0.023237277]"
3112,explore,0.9777822220000383,0,-96.0,1,0,0,0,223,95,123.48,819.6096,0
3232,explore,0.9753824620000424,2,-96.0,2,0,0,0,223,119,123.307692308,788.828402367,0
3376,explore,0.9725027500000474,1,-96.0,3,0,0,0,223,143,124.037037037,773.443072702,"[0.077063091, 0.032855734, 0.024203938, 0.020003419]"
3504,explore,0.9699430060000518,0,-96.0,3,0,0,0,223,127,124.142857143,746.12244898,0
3640,explore,0.9672232780000565,1,-96.0,3,0,0,0,223,135,124.517241379,724.318668252,0
3760,explore,0.9648235180000606,1,-96.0,2,0,0,0,223,119,124.333333333,701.155555556,0
3912,explore,0.9617838220000658,1,-96.0,4,0,0,0,223,151,125.193548387,700.73673257,0
4008,explore,0.9598640140000692,0,-96.0,1,0,0,0,223,95,124.25,706.4375,0
4152,explore,0.9569843020000741,2,-96.0,3,0,0,0,223,143,124.818181818,695.360881543,0
4272,explore,0.9545845420000783,1,-96.0,2,0,0,0,223,119,124.647058824,675.875432526,0
4392,explore,0.9521847820000824,2,-96.0,2,0,0,0,223,119,124.485714286,657.449795918,0
4512,explore,0.9497850220000865,0,-96.0,2,0,0,0,223,119,124.333333333,640.0,0
4608,explore,0.9478652140000898,0,-96.0,1,0,0,0,223,95,123.540540541,645.329437546,0
4752,explore,0.9449855020000948,2,-96.0,3,0,0,0,223,143,124.052631579,638.049861496,0
4872,explore,0.9425857420000989,0,-96.0,2,0,0,0,223,119,123.923076923,622.327416174,0
4968,explore,0.9406659340001022,0,-96.0,1,0,0,0,223,95,123.2,627.16,0
5088,explore,0.9382661740001064,2,-96.0,2,0,0,0,223,119,123.097560976,612.283164783,0
5184,explore,0.9363463660001097,2,-96.0,1,0,0,0,223,95,122.428571429,616.054421769,0
5312,explore,0.9337866220001141,2,-96.0,3,0,0,0,223,127,122.534883721,602.202271498,0
5440,explore,0.9312268780001185,0,-96.0,3,0,0,0,223,127,122.636363636,588.958677686,0
5544,explore,0.9291470860001221,0,-96.0,2,0,0,0,223,103,122.2,584.248888889,0
5640,explore,0.9272272780001254,0,-96.0,1,0,0,0,223,95,121.608695652,587.281663516,0
5736,explore,0.9253074700001287,2,-96.0,1,0,0,0,223,95,121.042553191,589.53010412,"[0.057904169, 0.019925553, 0.022532463, 0.015446151]"
5856,explore,0.9229077100001328,0,-96.0,2,0,0,0,223,119,121.0,577.333333333,"[0.073257551, 0.020448875, 0.01691322, 0.035895459]"
5976,explore,0.920507950000137,1,-96.0,2,0,0,0,223,119,120.959183673,565.630987089,"[0.055127867, 0.019497529, 0.015142351, 0.020487987]"
6072,explore,0.9185881420001403,0,-96.0,1,0,0,0,223,95,120.44,567.5264,0
6168,explore,0.9166683340001436,2,-96.0,1,0,0,0,223,95,95.0,0.0,0
6320,explore,0.9136286380001488,0,-96.0,4,0,0,0,223,151,123.0,784.0,0
6464,explore,0.9107489260001538,0,-96.0,3,0,0,0,223,143,129.666666667,611.555555556,0
6608,explore,0.9078692140001587,1,-96.0,3,0,0,0,223,143,133.0,492.0,0
6728,explore,0.9054694540001629,2,-96.0,2,0,0,0,223,119,130.2,424.96,0
6824,explore,0.9035496460001662,2,-96.0,1,0,0,0,223,95,124.333333333,526.222222222,0
6944,explore,0.9011498860001703,2,-96.0,2,0,0,0,223,119,123.571428571,454.530612245,0
7040,explore,0.8992300780001736,0,-96.0,1,0,0,0,223,95,120.0,487.0,0
7144,explore,0.8971502860001772,2,-96.0,2,0,0,0,223,103,118.111111111,461.432098765,0
7288,explore,0.8942705740001822,1,-96.0,4,0,0,0,223,143,120.6,471.04,0
7408,explore,0.8918708140001863,1,-96.0,2,0,0,0,223,119,120.454545455,428.429752066,0
7504,explore,0.8899510060001896,2,-96.0,1,0,0,0,223,95,118.333333333,442.222222222,0
7656,explore,0.8869113100001949,2,-96.0,4,0,0,0,223,151,120.846153846,483.976331361,"[0.056132488, 0.014945991, 0.013414918, 0.027771581]"
7776,explore,0.884511550000199,1,-96.0,2,0,0,0,223,119,120.714285714,449.632653061,"[0.061840057, 0.023542494, 0.022040147, 0.016257416]"
7896,explore,0.8821117900002031,0,-96.0,2,0,0,0,223,119,120.6,419.84,"[0.05512939, 0.01780637, 0.022907473, 0.014415548]"
8144,explore,0.8771522860002117,1,-96.0,7,0,0,0,247,247,128.5,1329.75,0
8240,explore,0.875232478000215,1,-96.0,1,0,0,0,247,95,126.529411765,1313.66089965,0
8336,explore,0.8733126700002183,0,-96.0,1,0,0,0,247,95,124.777777778,1292.83950617,"[0.061082296, 0.019264549, 0.016798628, 0.025019117]"
8456,explore,0.8709129100002224,0,-96.0,3,0,0,0,247,119,124.473684211,1226.4598338,"[0.047177725, 0.025585759, 0.0044905562, 0.017101411]"
