Time,State,Epsilon,Action,Reward,Medkit,Poison,Frags,Amo,Max Life,Life,Mean Score,Var Score,Loss
96,observe,1.0,2,-96.0,1,0,0,0,95,95,95.0,0.0,0
272,observe,1.0,0,-96.0,5,0,0,0,175,175,135.0,1600.0,0
392,observe,1.0,2,-96.0,2,0,0,0,175,119,129.66666666666666,1123.5555555555554,0
584,observe,1.0,1,-96.0,5,0,0,0,191,191,145.0,1548.0,0
680,observe,1.0,2,-96.0,1,0,0,0,191,95,135.0,1638.4,0
816,observe,1.0,1,-96.0,2,0,0,0,191,135,135.0,1365.3333333333333,0
936,observe,1.0,2,-96.0,2,0,0,0,191,119,132.71428571428572,1201.6326530612246,0
1056,observe,1.0,2,-96.0,2,0,0,0,191,119,131.0,1072.0,0
1176,observe,1.0,2,-96.0,4,0,0,0,191,119,129.66666666666666,967.1111111111111,0
1304,observe,1.0,2,-96.0,3,0,0,0,191,127,129.4,871.0400000000002,0
1448,observe,1.0,0,-96.0,3,0,0,0,191,143,130.63636363636363,807.1404958677684,0
1544,observe,1.0,1,-96.0,1,0,0,0,191,95,127.66666666666667,836.888888888889,0
1640,observe,1.0,1,-96.0,1,0,0,0,191,95,125.15384615384616,848.2840236686388,0
1784,observe,1.0,0,-96.0,3,0,0,0,191,143,126.42857142857143,808.8163265306123,0
1880,observe,1.0,2,-96.0,1,0,0,0,191,95,124.33333333333333,816.3555555555556,0
2072,explore,0.9985801420000024,2,-96.0,5,0,0,0,191,191,128.5,1025.75,0
2200,explore,0.9960203980000069,1,-96.0,3,0,0,0,191,127,128.41176470588235,965.5363321799309,0
2344,explore,0.9931406860000118,1,-96.0,3,0,0,0,191,143,129.22222222222223,923.0617283950617,0
2488,explore,0.9902609740000168,1,-96.0,3,0,0,0,191,143,129.94736842105263,883.9445983379502,0
2584,explore,0.9883411660000201,2,-96.0,1,0,0,0,191,95,128.2,897.76,0
2736,explore,0.9853014700000253,0,-96.0,4,0,0,0,191,151,129.28571428571428,878.5850340136054,"[0.1765824, 0.08177416, 0.0533044, 0.04150383]"
2872,explore,0.98258174200003,1,-96.0,3,0,0,0,191,135,129.54545454545453,840.0661157024795,0
3088,explore,0.9782621740000375,1,-96.0,6,0,0,0,215,215,133.2608695652174,1107.2362948960304,0
3184,explore,0.9763423660000408,2,-96.0,1,0,0,0,215,95,131.66666666666666,1119.5555555555554,0
3336,explore,0.973302670000046,2,-96.0,3,0,0,0,215,151,132.44,1089.1264,"[0.16197547, 0.020307668, 0.09839812, 0.04326968]"
3496,explore,0.9701029900000515,1,-96.0,4,0,0,0,215,159,133.46153846153845,1073.3254437869823,"[0.18448351, 0.04123843, 0.09840857, 0.044836506]"
3624,explore,0.9675432460000559,0,-96.0,2,0,0,0,215,127,133.22222222222223,1035.0617283950617,0
3760,explore,0.9648235180000606,2,-96.0,3,0,0,0,215,135,133.28571428571428,998.2040816326531,0
3872,explore,0.9625837420000645,0,-96.0,2,0,0,0,215,111,132.51724137931035,980.3186682520807,0
4040,explore,0.9592240780000703,1,-96.0,4,0,0,0,215,167,133.66666666666666,985.9555555555556,0
4136,explore,0.9573042700000736,2,-96.0,1,0,0,0,215,95,132.41935483870967,1000.8241415192508,"[0.18822917, 0.03512732, 0.09726274, 0.05583913]"
4256,explore,0.9549045100000777,2,-96.0,2,0,0,0,215,119,132.0,975.0,"[0.15188745, 0.08640626, 0.038530946, 0.026950235]"
4352,explore,0.952984702000081,2,-96.0,1,0,0,0,215,95,130.87878787878788,985.6822773186411,0
4488,explore,0.9502649740000857,0,-96.0,3,0,0,0,215,135,131.0,957.1764705882352,0
4632,explore,0.9473852620000907,2,-96.0,3,0,0,0,215,143,131.34285714285716,933.8253061224491,0
4728,explore,0.945465454000094,0,-96.0,1,0,0,0,215,95,130.33333333333334,943.5555555555555,0
4912,explore,0.9417858220001003,2,-96.0,5,0,0,0,215,183,131.75675675675674,990.9948867786704,0
5056,explore,0.9389061100001053,1,-96.0,3,0,0,0,215,143,132.05263157894737,968.1551246537397,"[0.15966438, 0.040000007, 0.031053245, 0.088611126]"
5224,explore,0.935546446000111,1,-96.0,4,0,0,0,215,167,132.94871794871796,973.8435239973704,0
5392,explore,0.9321867820001168,0,-96.0,4,0,0,0,215,167,133.8,977.76,0
5512,explore,0.929787022000121,1,-96.0,2,0,0,0,215,119,133.4390243902439,959.1243307555026,0
5632,explore,0.9273872620001251,2,-96.0,2,0,0,0,215,119,133.0952380952381,941.1337868480725,0
5800,explore,0.9240275980001309,1,-96.0,4,0,0,0,215,167,133.88372093023256,945.3585722011898,0
5896,explore,0.9221077900001342,1,-96.0,1,0,0,0,215,95,133.0,957.4545454545455,"[0.17312908, 0.043159727, 0.030011578, 0.09995779]"
6064,explore,0.91874812600014,1,-96.0,4,0,0,0,215,167,133.75555555555556,961.2958024691357,0
6160,explore,0.9168283180001433,1,-96.0,1,0,0,0,215,95,132.91304347826087,972.3402646502833,0
6256,explore,0.9149085100001466,2,-96.0,1,0,0,0,215,95,132.10638297872342,981.5844273426891,"[0.169566, 0.035480328, 0.08334492, 0.05074075]"
6352,explore,0.9129887020001499,0,-96.0,1,0,0,0,215,95,131.33333333333334,989.2222222222222,0
6472,explore,0.9105889420001541,0,-96.0,2,0,0,0,215,119,131.08163265306123,972.0749687630155,0
6568,explore,0.9086691340001574,1,-96.0,1,0,0,0,215,95,130.36,978.1503999999998,0
6704,explore,0.905949406000162,2,-96.0,4,0,0,0,215,135,135.0,0.0,0
6840,explore,0.9032296780001667,1,-96.0,3,0,0,0,215,135,135.0,0.0,0
6936,explore,0.90130987000017,1,-96.0,1,0,0,0,215,95,121.66666666666667,355.5555555555555,"[0.16592595, 0.052725703, 0.046666674, 0.06653357]"
7056,explore,0.8989101100001742,1,-96.0,2,0,0,0,215,119,121.0,268.0,"[0.15787038, 0.07712386, 0.015555557, 0.06519098]"
7360,explore,0.8928307180001847,2,-96.0,10,0,0,0,303,303,157.4,5514.24,0
7456,explore,0.890910910000188,0,-96.0,1,0,0,0,303,95,147.0,5136.0,"[0.16893205, 0.08707177, 0.038860817, 0.042999465]"
7576,explore,0.8885111500001921,1,-96.0,2,0,0,0,303,119,143.0,4498.285714285715,"[0.17196181, 0.0714294, 0.04984376, 0.05068866]"
7728,explore,0.8854714540001973,1,-96.0,4,0,0,0,303,151,144.0,3943.0,0
7824,explore,0.8835516460002006,0,-96.0,1,0,0,0,303,95,138.55555555555554,3742.0246913580245,0
7920,explore,0.881631838000204,0,-96.0,1,0,0,0,303,95,134.2,3538.56,0
8056,explore,0.8789121100002086,2,-96.0,3,0,0,0,303,135,134.27272727272728,3216.9256198347107,"[0.17618623, 0.107332855, 0.03992208, 0.028931282]"
8200,explore,0.8760323980002136,1,-96.0,3,0,0,0,303,143,135.0,2954.6666666666665,0
8304,explore,0.8739526060002172,2,-96.0,2,0,0,0,303,103,132.53846153846155,2800.094674556213,0
8472,explore,0.870592942000223,0,-96.0,4,0,0,0,303,167,135.0,2678.8571428571427,0
8664,explore,0.8667533260002296,2,-96.0,5,0,0,0,303,191,138.73333333333332,2695.395555555556,0
8760,explore,0.8648335180002329,1,-96.0,1,0,0,0,303,95,136.0,2639.0,0
8920,explore,0.8616338380002384,2,-96.0,4,0,0,0,303,159,137.35294117647058,2513.0519031141866,0
9040,explore,0.8592340780002425,2,-96.0,2,0,0,0,303,119,136.33333333333334,2391.1111111111113,0
9216,explore,0.8557144300002486,0,-96.0,4,0,0,0,303,175,138.3684210526316,2339.81163434903,"[0.20856653, 0.06525234, 0.09998085, 0.04333334]"
9440,explore,0.8512348780002563,2,-96.0,6,0,0,0,303,223,142.6,2563.04,0
9536,explore,0.8493150700002596,0,-96.0,1,0,0,0,303,95,140.33333333333334,2543.7460317460313,"[0.19396347, 0.05733817, 0.07446673, 0.06215857]"
9656,explore,0.8469153100002638,0,-96.0,2,0,0,0,303,119,139.36363636363637,2447.867768595042,"[0.12501876, 0.05472277, 0.016513217, 0.053782772]"
9800,explore,0.8440355980002687,1,-96.0,3,0,0,0,303,143,139.52173913043478,2341.9886578449905,0
9896,explore,0.842115790000272,0,-96.0,1,0,0,0,303,95,137.66666666666666,2323.5555555555557,"[0.16754621, 0.03881366, 0.05501637, 0.07371618]"
10328,explore,0.8334766540002869,0,-96.0,15,0,0,0,431,431,149.4,5534.72,0
10520,explore,0.8296370380002935,1,-96.0,5,0,0,0,431,191,151.0,5385.846153846154,0
10800,explore,0.8240375980003032,1,-96.0,9,0,0,0,431,279,155.74074074074073,5770.710562414265,0
11000,explore,0.8200379980003101,0,-96.0,6,0,0,0,431,199,157.28571428571428,5629.061224489796,0
11120,explore,0.8176382380003142,0,-96.0,2,0,0,0,431,119,155.9655172413793,5483.757431629014,0
11216,explore,0.8157184300003175,1,-96.0,1,0,0,0,431,95,153.93333333333334,5420.728888888889,"[0.1821749, 0.107215405, 0.030972226, 0.043987274]"
11384,explore,0.8123587660003233,1,-96.0,4,0,0,0,431,167,154.3548387096774,5251.196670135276,0
11488,explore,0.8102789740003269,1,-96.0,2,0,0,0,431,103,152.75,5166.9375,0
11608,explore,0.807879214000331,0,-96.0,2,0,0,0,431,119,151.72727272727272,5043.834710743801,0
11744,explore,0.8051594860003357,0,-96.0,3,0,0,0,431,135,151.23529411764707,4903.474048442907,0
11864,explore,0.8027597260003398,0,-96.0,2,0,0,0,431,119,150.31428571428572,4792.215510204082,0
11960,explore,0.8008399180003432,2,-96.0,1,0,0,0,431,95,148.77777777777777,4741.728395061728,0
12056,explore,0.7989201100003465,1,-96.0,1,0,0,0,431,95,147.32432432432432,4689.624543462382,"[0.2075526, 0.06347494, 0.06836783, 0.075709835]"
12224,explore,0.7955604460003523,0,-96.0,4,0,0,0,431,167,147.8421052631579,4576.132963988919,0
12360,explore,0.7928407180003569,2,-96.0,3,0,0,0,431,135,147.51282051282053,4462.916502301117,0
12464,explore,0.7907609260003605,0,-96.0,2,0,0,0,431,103,146.4,4399.640000000001,0
12688,explore,0.7862813740003682,2,-96.0,6,0,0,0,431,223,148.26829268292684,4431.95240928019,0
12824,explore,0.7835616460003729,2,-96.0,3,0,0,0,431,135,147.95238095238096,4330.521541950113,0
13112,explore,0.7778022220003828,0,-96.0,10,0,0,0,431,287,151.1860465116279,4668.988642509465,0
13280,explore,0.7744425580003886,0,-96.0,4,0,0,0,431,167,151.54545454545453,4568.429752066117,0
13376,explore,0.772522750000392,0,-96.0,1,0,0,0,431,95,150.2888888888889,4536.383209876543,"[0.13359812, 0.04936477, 0.04362881, 0.040604524]"
13512,explore,0.7698030220003966,0,-96.0,3,0,0,0,431,135,149.95652173913044,4442.737240075614,0
13656,explore,0.7669233100004016,1,-96.0,3,0,0,0,431,143,149.80851063829786,4349.21865097329,"[0.17535779, 0.06359985, 0.04341005, 0.068347886]"
13800,explore,0.7640435980004066,1,-96.0,3,0,0,0,431,143,149.66666666666666,4259.555555555556,0
13896,explore,0.7621237900004099,2,-96.0,1,0,0,0,431,95,148.55102040816325,4232.369845897542,"[0.15885201, 0.059241332, 0.058178693, 0.041431986]"
14016,explore,0.759724030000414,1,-96.0,2,0,0,0,431,119,147.96,4164.8384,"[0.16187988, 0.050916206, 0.035125412, 0.07583827]"
14160,explore,0.756844318000419,1,-96.0,3,0,0,0,431,143,143.0,0.0,0
14336,explore,0.753324670000425,1,-96.0,5,0,0,0,431,175,159.0,256.0,"[0.2162706, 0.0791543, 0.04762585, 0.08949044]"
14440,explore,0.7512448780004286,0,-96.0,1,0,0,0,431,103,140.33333333333334,867.5555555555557,0
14608,explore,0.7478852140004344,2,-96.0,4,0,0,0,431,167,147.0,784.0,0
14704,explore,0.7459654060004377,0,-96.0,1,0,0,0,431,95,136.6,1059.84,0
14808,explore,0.7438856140004413,2,-96.0,2,0,0,0,431,103,131.0,1040.0,0
14952,explore,0.7410059020004462,1,-96.0,3,0,0,0,431,143,132.71428571428572,909.0612244897958,0
15048,explore,0.7390860940004496,1,-96.0,1,0,0,0,431,95,128.0,951.0,0
15192,explore,0.7362063820004545,2,-96.0,3,0,0,0,431,143,129.66666666666666,867.5555555555557,0
15488,explore,0.7302869740004647,0,-96.0,9,0,0,0,431,295,146.2,3240.96,0
15584,explore,0.728367166000468,0,-96.0,1,0,0,0,431,95,141.54545454545453,3162.9752066115702,0
15728,explore,0.725487454000473,0,-96.0,3,0,0,0,431,143,141.66666666666666,2899.555555555555,0
15896,explore,0.7221277900004788,0,-96.0,4,0,0,0,431,167,143.6153846153846,2722.0828402366856,"[0.22311988, 0.082393296, 0.08850198, 0.0522246]"
16056,explore,0.7189281100004843,0,-96.0,4,0,0,0,431,159,144.71428571428572,2543.3469387755104,"[0.18098076, 0.0489361, 0.05013493, 0.08190973]"
16336,explore,0.7133286700004939,0,-96.0,10,0,0,0,431,279,153.66666666666666,3495.8222222222225,"[0.17187247, 0.089766905, 0.027098155, 0.055007398]"
16528,explore,0.7094890540005006,0,-96.0,5,0,0,0,431,191,156.0,3359.0,0
16672,explore,0.7066093420005055,2,-96.0,3,0,0,0,431,143,155.23529411764707,3170.7681660899652,0
16904,explore,0.7019698060005135,2,-96.0,7,0,0,0,431,231,159.44444444444446,3295.8024691358028,0
17136,explore,0.6973302700005215,0,-96.0,7,0,0,0,431,231,163.21052631578948,3377.639889196676,"[0.18300343, 0.056988448, 0.062949345, 0.06306563]"
17256,explore,0.6949305100005256,0,-96.0,2,0,0,0,431,119,161.0,3301.6,"[0.17541678, 0.07221958, 0.048374824, 0.054822378]"
17384,explore,0.69237076600053,0,-96.0,2,0,0,0,431,127,159.38095238095238,3196.807256235827,0
17544,explore,0.6891710860005356,0,-96.0,4,0,0,0,431,159,159.36363636363637,3051.504132231405,0
17744,explore,0.6851714860005425,2,-96.0,5,0,0,0,431,199,161.08695652173913,2984.1663516068047,0
17936,explore,0.6813318700005491,2,-96.0,4,0,0,0,431,191,162.33333333333334,2895.555555555556,"[0.18651277, 0.09496935, 0.062429123, 0.029114302]"
18128,explore,0.6774922540005557,0,-96.0,5,0,0,0,431,191,163.48,2811.2895999999996,0
18248,explore,0.6750924940005598,0,-96.0,3,0,0,0,431,119,161.76923076923077,2776.331360946745,0
18544,explore,0.66917308600057,0,-96.0,9,0,0,0,431,295,166.7037037037037,3306.5788751714676,0
18784,explore,0.6643735660005783,2,-96.0,7,0,0,0,431,239,169.28571428571428,3368.489795918367,0
18976,explore,0.6605339500005849,2,-96.0,5,0,0,0,431,191,170.0344827586207,3268.0332936979785,"[0.15072133, 0.041301206, 0.062876165, 0.046543956]"
19160,explore,0.6568543180005912,0,-96.0,6,0,0,0,431,183,170.46666666666667,3164.5155555555552,0
19256,explore,0.6549345100005945,0,-96.0,1,0,0,0,431,95,168.03225806451613,3240.224765868886,"[0.16425388, 0.07279835, 0.036025666, 0.055429865]"
19472,explore,0.650614942000602,1,-96.0,6,0,0,0,431,215,169.5,3205.75,0
19600,explore,0.6480551980006064,1,-96.0,3,0,0,0,431,127,168.21212121212122,3161.6822773186414,0
19824,explore,0.6435756460006141,0,-96.0,6,0,0,0,431,223,169.8235294117647,3154.38062283737,0
20016,explore,0.6397360300006207,1,-96.0,4,0,0,0,431,191,170.42857142857142,3076.702040816326,"[0.19746432, 0.08140511, 0.059172638, 0.05688656]"
20200,explore,0.6360563980006271,0,-96.0,5,0,0,0,431,183,170.77777777777777,2995.506172839506,0
20464,explore,0.6307769260006362,0,-96.0,8,0,0,0,431,263,173.27027027027026,3138.1972242512784,0
20608,explore,0.6278972140006411,0,-96.0,3,0,0,0,431,143,172.47368421052633,3079.091412742382,0
20896,explore,0.6221377900006511,0,-96.0,9,0,0,0,431,287,175.4102564102564,3327.8316896778438,"[0.16663639, 0.08295901, 0.026133606, 0.05754378]"
21016,explore,0.6197380300006552,1,-96.0,2,0,0,0,431,119,174.0,3322.2,"[0.14253607, 0.04179783, 0.059740834, 0.0409974]"
21432,explore,0.6114188620006695,2,-96.0,16,0,0,0,431,415,179.8780487804878,4623.229030339084,0
21957,explore,0.6009199120006876,0,4.0,25,0,0,0,524,524,188.07142857142858,7265.542517006803,0
22173,explore,0.5966003440006951,0,-96.0,7,0,0,0,524,215,188.69767441860466,7113.048134126556,0
22637,explore,0.587321272000711,0,-96.0,16,0,0,0,524,463,194.9318181818182,8622.56353305785,0
23162,explore,0.5768223220007291,2,4.0,24,0,0,0,524,524,202.24444444444444,10783.82913580247,0
23362,explore,0.572822722000736,0,-96.0,6,0,0,0,524,199,202.17391304347825,10549.62192816635,0
23887,explore,0.5623237720007541,0,4.0,21,0,0,0,524,524,209.0212765957447,12481.935717519242,0
