Time,State,Epsilon,Action,Reward,Medkit,Poison,Frags,Amo,Max Life,Life,Mean Score,Var Score,Loss
112,observe,1.0,0,-86.0,2,0,0,0,111,111,,,0
232,observe,1.0,0,-86.0,2,0,0,0,119,119,,,0
328,observe,1.0,2,-86.0,1,0,0,0,119,95,,,0
448,observe,1.0,0,-86.0,2,0,0,0,119,119,,,0
568,observe,1.0,1,-86.0,2,0,0,0,119,119,,,0
688,observe,1.0,0,-86.0,2,0,0,0,119,119,,,0
832,observe,1.0,1,-86.0,3,0,0,0,143,143,,,0
992,observe,1.0,2,-86.0,4,0,0,0,159,159,,,0
1128,observe,1.0,1,-86.0,3,0,0,0,159,135,,,0
1224,observe,1.0,1,-86.0,1,0,0,0,159,95,,,0
1344,observe,1.0,2,-86.0,2,0,0,0,159,119,,,0
1488,observe,1.0,0,-86.0,4,0,0,0,159,143,,,0
1608,observe,1.0,1,-86.0,2,0,0,0,159,119,,,0
1728,observe,1.0,1,-86.0,2,0,0,0,159,119,,,0
1840,observe,1.0,0,-86.0,2,0,0,0,159,111,,,0
1952,observe,1.0,1,-86.0,2,0,0,0,159,111,,,0
2144,explore,0.9971402860000049,2,-86.0,5,0,0,0,191,191,,,0
2240,explore,0.9952204780000082,0,-86.0,1,0,0,0,191,95,,,0
2344,explore,0.9931406860000118,0,-86.0,2,0,0,0,191,103,,,0
2464,explore,0.990740926000016,2,-86.0,3,0,0,0,191,119,122.2,508.15999999999997,0
2584,explore,0.9883411660000201,0,-86.0,2,0,0,0,191,119,,,0
2712,explore,0.9857814220000245,0,-86.0,3,0,0,0,191,127,,,0
2992,explore,0.9801819820000341,2,-86.0,9,0,0,0,279,279,,,0
3112,explore,0.9777822220000383,1,-86.0,2,0,0,0,279,119,,,0
3232,explore,0.9753824620000424,0,-86.0,2,0,0,0,279,119,152.6,4003.8399999999992,0
3352,explore,0.9729827020000466,1,-86.0,2,0,0,0,279,119,,,0
3448,explore,0.9710628940000499,0,-86.0,1,0,0,0,279,95,,,0
3592,explore,0.9681831820000548,2,-86.0,3,0,0,0,279,143,,,0
