Time,State,Epsilon,Action,Reward,Medkit,Poison,Frags,Amo,Max Life,Life,Mean Score,Var Score,Loss
112,observe,1.0,2,-96.0,2,0,0,0,111,111,,,0
208,observe,1.0,2,-96.0,1,0,0,0,111,95,,,0
304,observe,1.0,2,-96.0,1,0,0,0,111,95,,,0
400,observe,1.0,0,-96.0,1,0,0,0,111,95,,,0
496,observe,1.0,1,-96.0,1,0,0,0,111,95,,,0
592,observe,1.0,1,-96.0,1,0,0,0,111,95,,,0
688,observe,1.0,1,-96.0,1,0,0,0,111,95,,,0
784,observe,1.0,2,-96.0,1,0,0,0,111,95,,,0
880,observe,1.0,0,-96.0,1,0,0,0,111,95,,,0
976,observe,1.0,1,-96.0,1,0,0,0,111,95,,,0
1072,observe,1.0,1,-99.0,1,0,0,0,111,95,,,0
1184,observe,1.0,1,-96.0,2,0,0,0,111,111,,,0
1280,observe,1.0,1,-96.0,1,0,0,0,111,95,,,0
1376,observe,1.0,0,-96.0,1,0,0,0,111,95,,,0
1472,observe,1.0,0,-96.0,1,0,0,0,111,95,,,0
1568,observe,1.0,0,-96.0,1,0,0,0,111,95,,,0
1632,observe,1.0,2,-96.0,1,1,0,0,111,63,,,0
1744,observe,1.0,1,-96.0,2,0,0,0,111,111,,,0
1840,observe,1.0,0,-96.0,1,0,0,0,111,95,,,0
1936,observe,1.0,0,-96.0,1,0,0,0,111,95,,,0
2032,explore,0.9993800620000011,2,-96.0,1,0,0,0,111,95,,,0
2128,explore,0.9974602540000044,1,-96.0,1,0,0,0,111,95,,,0
2272,explore,0.9945805420000093,0,-96.0,4,0,0,0,143,143,,,0
2368,explore,0.9926607340000126,2,-96.0,1,0,0,0,143,95,,,0
2480,explore,0.9904209580000165,1,-96.0,2,0,0,0,143,111,98.2,163.84,0
2584,explore,0.9883411660000201,0,-96.0,3,1,0,0,143,103,,,0
2680,explore,0.9864213580000234,1,-96.0,1,0,0,0,143,95,,,0
2776,explore,0.9845015500000267,1,-96.0,1,0,0,0,143,95,,,"[0.08034964, 0.03278162, 0.029883884, 0.017684132]"
2888,explore,0.9822617740000306,0,-96.0,2,0,0,0,143,111,,,0
